Taco Name,Count
Unknown,79
Breakfast Taco,22
Birria Taco,19
Al Pastor Taco,15
Barbacoa Taco,9
Carne Asada Taco,6
Carnitas Taco,4
Brisket Taco,3
Bean & Cheese Taco,2
Cauliflower Taco,2
Fish Taco,2
Menudo,2
Shrimp Taco,2
Suadero Taco,2
Carne Asada Torta,1
Carne Guisada,1
Cowboy,1
Democrat Taco,1
Discada Taco,1
Extra Crispy Cheese Taco,1
Flautas,1
Gorditas,1
Gringas Con Todos,1
Hand Made Tortillas,1
House-made Tortillas,1
Indian Taco,1
Jalapeno Sauce,1
Korean Steak Taco,1
Mami's Taco,1
Matamoros Style Taco,1
Mini Taco,1
México-cali Taco,1
Nopales Y Huevos Taco,1
Pastor,1
Picadillo Taco,1
Picosito Taco,1
Pirata Taco,1
"Potato, Bacon, and Egg",1
Signature Taco,1
Steak Taco,1
Street Taco,1
Tacos Al Vapor,1
Taquitos,1
Tripe Taco,1
Volcan,1
